,productCd,countryCd,label
325,85131000,Norway,Portable electrical lamps designed to function by their own source of energy
326,85131000,"Micronesia, Federated States of",Portable electrical lamps designed to function by their own source of energy + detailed label not available +
327,85131000,Palau,Portable electrical lamps designed to function by their own source of energy
328,85131010,Pakistan,Portable electrical lamps designed to function by their own source of energy: miners' safety lamps
329,85131020,Pakistan,Portable electrical lamps designed to function by their own source of energy: other safety lamps; morse signalling lamps; examination lamps
330,85131030,Pakistan,Portable electrical lamps designed to function by their own source of energy: rechargeable emergency light
331,85131040,Pakistan,Portable electrical lamps designed to function by their own source of energy: torches
332,85131090,Pakistan,Portable electrical lamps designed to function by their own source of energy: other
333,85131050,Pakistan,Portable electrical lamps designed to function by their own source of energy: huricane lanterns
334,85131000,Panama,Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía
335,85131090,Papua New Guinea,Portable electrical lamps designed to function by their own source of energy (detailed label not available)
336,85131010,Papua New Guinea,Portable electrical lamps designed to function by their own source of energy Fancy torches
337,85131010000,Paraguay,"Lamparas electricas portatiles que funcionen con su propia fuente de energia: de mano, incluidas las linternas"
338,85131000000,Paraguay,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
339,85131090000,Paraguay,Lamparas electricas portatiles que funcionen con su propia fuente de energia: las demás
340,8513101000,Peru,"Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía (por ejemplo: de pilas, acumuladores, electromagnéticas), excepto los aparatos de alumbrado de la partida 85.12.: Lámparas: De seguridad"
341,8513109000,Peru,"Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía Lámparas eléctricas portátiles concebidas para funcionar con su propia fuente de energía (por ejemplo: de pilas, acumuladores, electromagnéticas), excepto los aparatos de alumbrado de la partida 85.12.: Lámparas: Las demás"
342,85131030,Philippines,Portable electrical lamps designed to function by their own source of energy:   lamps : miners’ helmet lamps and quarrymen’s lamps
343,85131090,Philippines,"Portable electrical lamps designed to function by their own source of energy Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12: Lamps: Other"
344,85131020,Philippines,"Portable electrical lamps designed to function by their own source of energy Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12: Lamps: Quarrymen’s lamps"
345,85131010,Philippines,"Portable electrical lamps designed to function by their own source of energy Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12: Lamps: Miners' cap lamps"
346,85131000,Timor-Leste,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
347,85131000,Qatar,Portable electrical lamps designed to function by their own source of energy
348,8513100000,Russian Federation,Portable electrical lamps designed to function by their own source of energy
349,85131010,Rwanda,Miner's safety lamps
350,85131090,Rwanda,Other portable electric lamps
351,85131000,Saint Kitts and Nevis,Portable electrical lamps designed to function by their own source of energy
352,85131000,Saint Lucia,"Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12 (SITC 778.34)."
353,851310XX,Saint Lucia,Trade borken down at the 6-digit level
354,85131000,Saint Vincent and the Grenadines,Portable electrical lamps designed to function by their own source of energy
355,8513100000,Sao Tome and Principe,"Lanternas eléctricas portáteis destinadas a funcionar por meio da sua própria fonte de energia (por exemplo , de pilhas, de acumuladores, de magnetos), excluindo os aparelhos de iluminação da posição 8512 : lanternas"
356,85131000,Saudi Arabia,Portable electrical lamps designed to function by their own source of energy
357,8513100000,Senegal,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie (à piles, à accumulateurs, électromagnétiques, par exemple), autres que les appareils d'éclairage du n° 85.12: Lampes"
358,8513100010,Senegal,Portable electrical lamps designed to function by their own source of energy (detailed label not available)
359,8513100000,Serbia,Portable electrical lamps designed to function by their own source of energy
360,85131000,Seychelles,Portable electric lamp designd to function by thr own source of energy
361,85131000,Sierra Leone,Portable electrical lamps designed to function by their own source of energy
362,85131000,India,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
363,85131090,India,Portable electrical lamps designed to function by their own source of energy: Other
364,85131030,India,Portable electrical lamps designed to function by their own source of energy: Miners' safety lamps
365,85131040,India,Portable electrical lamps designed to function by their own source of energy: Magneto lamps
366,85131010,India,Portable electrical lamps designed to function by their own source of energy: Torch
367,85131001,India,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
368,85131002,India,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
369,85131020,India,Portable electrical lamps designed to function by their own source of energy: Other flash lights excluding those for
370,85131003,India,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
371,85131004,India,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
372,85131005,India,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
373,85131020,Singapore,Quarrymen lamps
374,85131010,Singapore,Miners helmet lamps
375,85131030,Singapore,Miners' helmet lamps or quarrymen's lamps
376,85131090,Singapore,Other electric portable lamps excl lighting equipment ofheading 8512
377,85131000,Viet Nam,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
378,85131000,South Africa,Portable electrical lamps designed to function by their own source of energy
379,85131000,Eswatini,Portable electrical lamps designed to function by their own source of energy
380,85131000,Namibia,Portable electrical lamps designed to function by their own source of energy
381,85131000,Lesotho,Portable electrical lamps designed to function by their own source of energy
382,85131000,Botswana,Portable electrical lamps designed to function by their own source of energy
383,85131000,Zimbabwe,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
384,85131090,Zimbabwe,Portable electrical lamps designed to function by their own source of energy : Other
385,85131010,Zimbabwe,Portable electrical lamps designed to function by their own source of energy : Miner's safety lamps
386,85131020,Zimbabwe,Lamps incorporating a solar module
387,85131000,Sudan (before 2012),Portable electrical lamps designed to function by their own source of energy
388,85131000,Suriname,Portable electrical lamps designed to function by their own source of energy
389,85131000,Switzerland,"Portable electrical lamps designed to function by their own source of energy ""for ex. dry batteries, accumulators, magnetos"" (excl. lighting equipment of heading 8512)"
390,85131000,Syrian Arab Republic,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
391,85131009040,Thailand,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
392,85131010000,Thailand,"Portable electrical lamps designed to function by their own source of energy Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12: lamps: miners’ helmet lamps"
393,85131001020,Thailand,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
394,85131020000,Thailand,"Portable electrical lamps designed to function by their own source of energy Portable electric lamps designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos), other than lighting equipment of heading 85.12: lamps: quarrymen’s lamps"
395,85131030000,Thailand,Portable electrical lamps designed to function by their own source of energy: miners’ helmet lamps and quarrymen’s lamps
396,85131090000,Thailand,Portable electrical lamps designed to function by their own source of energy: other
397,85131090001,Thailand,Portable electrical lamps designed to function by their own source of energy: other: portable flash light
398,85131090090,Thailand,Portable electrical lamps designed to function by their own source of energy: other: other
399,8513100000,Togo,"Lampes electriques portatives, appareils d'eclairage du n 85.12 exclus"
400,85131000,Tonga,Portable electrical lamps designed to function by their own source of energy
401,85131000,Trinidad and Tobago,Portable electric lamp designd to function by thr own source of energy
402,85131000,United Arab Emirates,Portable electrical lamps designed to function by their own source of energy
403,8513100010,Tunisia,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie + libellé détaillé non disponible +"
404,85131000100,Tunisia,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
405,85131000909,Tunisia,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie"
406,85131000900,Tunisia,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
407,85131000103,Tunisia,"lampes electriques portatives,de surete pour mineurs,destines a fonctionner au moyen de leur propre source d'energie ( a piles,a accummulateurs,electromagnetiques,par exemple ) *"
408,8513100090,Tunisia,"Lampes électriques portatives, destinées à fonctionner au moyen de leur propre source d'énergie + libellé détaillé non disponible +"
409,851310009000,Türkiye,Portable electrical lamps designed to function by their own source of energy : Other
410,851310001000,Türkiye,Portable electrical lamps designed to function by their own source of energy : Miners lamp
411,851310000000,Türkiye,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
412,85131000,Turks and Caicos Islands,Portable electrical lamps designed to function by their own source of energy + detailed label not available +
413,85131000,Uganda,Portable electric lamp designd to function by thr own source of energy
414,85131010,Uganda,Miner's safety lamps
415,85131090,Uganda,Other lamps
416,8513100000,"Macedonia, North",Portable electrical lamps designed to function by their own source of energy
417,8513100010,Egypt,"Portable electric lamps, for miners, designed to function by their own source of energy (for example, dry batteries, accumulators, magnetos),other than lighting equipment of heading 85.12."
418,8513109000,Egypt,Portable electrical lamps designed to function by their own source of energy: no description available at level 8
419,8513100090,Egypt,Portable electrical lamps designed to function by their own source of energy
