,productCd,countryCd,label,,,,,,,
138,8541400000,Senegal,"Diodes, transistors et dispositifs similaires à semi-conducteur ; dispositif photosensibles à semi-conducteur, y compris les cellules photo- voltaiques même assemblées en modules ou constituées en panneaux ; diodes émettrices de lumière ; cristaux piézo-électriques montés.: Dispositifs photosensibles à semi conducteur, y compris les cellules photovoltaïques même assemblées en modules ou constituées en panneaux; diodes émettrices de lumière",,,,,,,
139,8541400000,Togo,"Diodes, transistors et dispositifs similaires à semi-conducteur ; dispositif photosensibles à semi-conducteur, y compris les cellules photo- voltaiques même assemblées en modules ou constituées en panneaux ; diodes émettrices de lumière ; cristaux piézo-électriques montés.: Dispositifs photosensibles à semi conducteur, y compris les cellules photovoltaïques même assemblées en modules ou constituées en panneaux; diodes émettrices de lumière",,,,,,,
140,8541400000,Egypt,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
141,8541400000,Burkina Faso,"Dispositifs photosensib.a semi-conducteur, diodes emettrices de lumiere",,,,,,,
142,85414000000,Burundi,"Diodes, transistors and similar semiconductor devices; photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes; mounted piezo-electric crystals: Photosensitive semiconductor devices, including photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes",,,,,,,
143,85414000000,Cameroon,"Dispositifs photosensibles à semi-conducteur, ; diodes émettrices de lumière",,,,,,,
144,85414000000,Congo,"Dispositifs photosensib.a semi-conducteur, diodes emettrices de lumiere",,,,,,,
145,85414000000,Mauritania,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excluding photovoltaic generators) (detailed label not available)",,,,,,,
146,85414000000,Nicaragua,Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est,,,,,,,
147,8.5414E+11,Angola,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators) + detailed label not available +",,,,,,,
148,8.5414E+11,Bahamas,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators)",,,,,,,
149,8.5414E+11,Nicaragua,"Dispositivos material semiconductor fotosensibles, incl. las células fotovoltaicas aunque estén ensambladas en módulos o paneles (exc. generadores fotovoltaicos); diodos emisores de luz",,,,,,,
150,8541400001,New Zealand,"Electrical apparatus; photosensitive semiconductor devices, light emitting diodes",,,,,,,
151,8541400001,Burkina Faso,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes",,,,,,,
152,8541400009,New Zealand,"Electrical apparatus; photosensitive semiconductor devices, diodes other than light emitting diodes",,,,,,,
153,8541400010,Canada,Light emitting diodes (LED's),,,,,,,
154,8541400010,Cabo Verde,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made up into panels; light emitting diodes (excl. photovoltaic generators): Photovoltaic cells mounted in pannels",,,,,,,
155,8541400010,Costa Rica,Dispositivos semiconductores fotosensibles; incluidas las celulas fotovoltaicas aunque est: de los circuitos modulares del inciso 8473.30.0,,,,,,,
156,8541400010,Ghana,"Photosensitive semiconduct device,photovoltaic cells&light emit diodes: solar cells and panels",,,,,,,
157,8541400010,Maldives,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators): solar panel",,,,,,,
158,8541400010,Mali,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules",,,,,,,
159,8541400011,Maldives,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators): led display panel",,,,,,,
160,8541400012,Maldives,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators): isolator",,,,,,,
161,8541400013,Maldives,"Photosensitive semiconductor devices, incl. photovoltaic cells whether or not assembled in modules or made-up into panels; light emitting diodes (excl. photovoltaic generators): light emitting diode (led)",,,,,,,
